priority,name,address,lat,lng,cuisine,google_maps_link,rating,review_count,added
1,Namaste,"Brussels, Belgium",50.8633033,4.5168413,Indian,"https://www.google.com/maps/search/Namaste+Brussels,+Belgium",,,
1,Pizza Hut,Weiveldlaan 10B,50.8699058,4.4910115,Italian,https://www.google.com/maps/search/Pizza+Hut+Weiveldlaan+10B,,,
1,Benvenutto,"Brussels, Belgium",50.875071,4.3404797,Italian,"https://www.google.com/maps/search/Benvenutto+Brussels,+Belgium",,,
1,Jade Village,"Brussels, Belgium",50.8978054,4.3226332,Chinese,"https://www.google.com/maps/search/Jade+Village+Brussels,+Belgium",,,
1,Pizzeria Villa Borghese,"Hoogstraat 1, 1650",50.7665566,4.3089591,Italian,"https://www.google.com/maps/search/Pizzeria+Villa+Borghese+Hoogstraat+1,+1650",,,
1,Ciao Ciao,"Brussels, Belgium",50.8731624,4.3770781,Italian,"https://www.google.com/maps/search/Ciao+Ciao+Brussels,+Belgium",,,
1,Forelvijver St-Martin,"Blekerijstraat 17, 1700",50.8470639,4.2273795,French,"https://www.google.com/maps/search/Forelvijver+St-Martin+Blekerijstraat+17,+1700",,,
1,Giorgio's Pitta - Pizza,"Brussels, Belgium",50.8996128,4.2232311,Italian,"https://www.google.com/maps/search/Giorgio's+Pitta+-+Pizza+Brussels,+Belgium",,,
1,Roquette,"Brussels, Belgium",50.8676117,4.3410749,Waffle,"https://www.google.com/maps/search/Roquette+Brussels,+Belgium",,,
1,Pizza Hut Takeaway,"Brussels, Belgium",50.8410022,4.4948592,Italian,"https://www.google.com/maps/search/Pizza+Hut+Takeaway+Brussels,+Belgium",,,
1,Les Fondus de la Raclette,"Brussels, Belgium",50.8413504,4.4950173,Fondue,"https://www.google.com/maps/search/Les+Fondus+de+la+Raclette+Brussels,+Belgium",,,
1,My-Tai,"Brussels, Belgium",50.8402025,4.4944862,Thai,"https://www.google.com/maps/search/My-Tai+Brussels,+Belgium",,,
1,IKEA Restaurant,"Brussels, Belgium",50.8718198,4.4920625,Swedish,"https://www.google.com/maps/search/IKEA+Restaurant+Brussels,+Belgium",,,
1,Fritzak Anita & Nico,"Brussels, Belgium",50.9090435,4.5134708,Regional,"https://www.google.com/maps/search/Fritzak+Anita+&+Nico+Brussels,+Belgium",,,
1,De Pizzabakker,"Fuérisonplaats 8, 1820, Steenokkerzeel",50.9099136,4.5128936,Italian,"https://www.google.com/maps/search/De+Pizzabakker+Fuérisonplaats+8,+1820,+Steenokkerzeel",,,
1,Angelo,"Brussels, Belgium",50.8897248,4.4627727,Italian,"https://www.google.com/maps/search/Angelo+Brussels,+Belgium",,,
1,Amore & Fantasia,"Brussels, Belgium",50.8154109,4.4170635,Italian,"https://www.google.com/maps/search/Amore+&+Fantasia+Brussels,+Belgium",,,
