osm_id,name,address,lat,lng,cuisine,google_rating,google_review_count,google_place_id,notes
2346724838,Ying -Yang,"Brussels, Belgium",50.8290528,4.3906086,Chinese,,,,
2349997620,Les Tontons,"Brussels, Belgium",50.8041511,4.3394694,Restaurant,,,,
2352444993,Via Roma,"Brussels, Belgium",50.7979083,4.4192114,Italian,,,,
2354753070,Karaca Concept,"Brussels, Belgium",50.8581051,4.3831557,Restaurant,,,,
2356372527,Joyeux,"Brussels, Belgium",50.8407434,4.435169,Restaurant,,,,
2356372556,Opa,"Brussels, Belgium",50.8405288,4.435374,Greek,,,,
2357318252,Le Cadre Noir,"Brussels, Belgium",50.8526543,4.3951171,French,,,,
2357400190,Pizza Merveillosa,"Brussels, Belgium",50.8530043,4.3878908,Italian,,,,
2357756974,O Beyrouth,"Brussels, Belgium",50.8530973,4.391313,Lebanese,,,,
2358738936,Poh Thai,"Brussels, Belgium",50.8207711,4.3665733,Thai,,,,
2359101259,Poseidon,"Brussels, Belgium",50.852763,4.3901707,Greek,,,,
2359277475,La Mi’n d’or,"Brussels, Belgium",50.8680957,4.3756597,Sandwich,,,,
2359457198,Snack l'Étang,"Brussels, Belgium",50.834742,4.3828497,Kebab,,,,
2360129722,Chao,"Brussels, Belgium",50.8183613,4.3846897,Vietnamese,,,,
2360451038,Au Vogelenzang,"Brussels, Belgium",50.8111531,4.2829179,Lebanese,,,,
2360487885,Mamma Roma,"Brussels, Belgium",50.8364173,4.3816497,Italian,,,,
2360488044,Pam Pam,"Brussels, Belgium",50.8308952,4.3896204,Restaurant,,,,
2360488103,Zorba,"Brussels, Belgium",50.8364085,4.381575,Greek,,,,
2360977204,Brunch Corner,"Brussels, Belgium",50.8638297,4.3767676,Restaurant,,,,
2360980673,Pizzeria Al Doppio A,"Brussels, Belgium",50.8638613,4.3775011,Italian,,,,
2362079215,Taverne Brusilia,"Brussels, Belgium",50.8631991,4.3796739,Restaurant,,,,
2362319064,Önder Pide,"Brussels, Belgium",50.8582278,4.3741462,Restaurant,,,,
2364474989,Marcella,"Brussels, Belgium",50.8252289,4.3590082,Italian,,,,
2364551571,La Luck,"Brussels, Belgium",50.8234947,4.3634013,Restaurant,,,,
2365469558,Le Petit Restaurant,"Brussels, Belgium",50.8498765,4.3990586,Restaurant,,,,
2365489706,Leopold Café Presse,"Brussels, Belgium",50.850778,4.39715,Sandwich,,,,
2365793714,Emirdag Köfteçısi,"Brussels, Belgium",50.8634532,4.3670993,Turkish,,,,
