h3_index,mean_rating,mean_residual,total_reviews,mean_reviews,chain_share,mean_price,cuisine_diversity,restaurant_count,hub_score,cluster,cluster_label,hex_lat,hex_lng
881fa440ddfffff,4.366666666666667,-0.0023096976553288093,173,57.666666666666664,0.0,2.0,2,3,-0.9749354223505697,1,Strong,50.91095817011274,4.414439866577059
881fa440e1fffff,4.2,0.11485519343710848,24,24.0,0.0,2.0,1,1,-1.0409229777028037,1,Strong,50.886246477661274,4.38116389029774
881fa440e5fffff,3.905263157894737,-0.02819036375871602,20990,1104.7368421052631,0.15789473684210525,2.0,10,19,1.7513765219021566,0,Emerging,50.880066663027634,4.37284985529561
881fa440e7fffff,4.3,0.005390116333034693,82,27.333333333333332,0.0,2.0,3,3,-0.8593872956363614,1,Strong,50.87928567402279,4.384952127619542
881fa440e9fffff,4.030769230769231,-0.026493712246646154,2514,193.3846153846154,0.0,1.8461538461538463,6,13,-0.20363897545204673,1,Strong,50.89320631241791,4.377374981514823
881fa440ebfffff,3.95,-0.010657138245017395,1722,172.2,0.0,1.9,8,10,0.04590725345320269,1,Strong,50.89242553616667,4.389479908567802
881fa44105fffff,4.4363636363636365,0.017235310351193564,4665,212.04545454545453,0.0,1.9545454545454546,8,22,0.21917342221177552,1,Strong,50.846840372005545,4.262558060002966
881fa44107fffff,4.46,-0.006437408103397768,1971,197.1,0.1,1.9,4,10,-0.3880017143528953,1,Strong,50.84606932723251,4.274646405557754
881fa4410bfffff,4.4,0.12155040466398859,1900,1900.0,0.0,2.0,1,1,0.9504439248354695,0,Emerging,50.859213835016575,4.279147328441658
881fa44111fffff,4.35,-0.022790035329829705,833,208.25,0.0,1.75,3,4,-0.8308668241610927,1,Strong,50.85766821179681,4.303331571852638
881fa44113fffff,4.3052631578947365,0.012537278978180811,12272,645.8947368421053,0.05263157894736842,1.8421052631578947,7,19,0.556166305657388,1,Strong,50.856893415619005,4.315424815327794
881fa44115fffff,3.6,0.06266599474355017,31,15.5,0.5,2.0,1,2,-0.15609330265874227,0,Emerging,50.85148296209215,4.295032545669993
881fa44117fffff,4.3999999999999995,0.011997886278185503,3191,290.09090909090907,0.0,1.9090909090909092,6,11,-0.1416003591267129,1,Strong,50.85070871946138,4.307124089308167
881fa44119fffff,4.423529411764706,-0.009355448155887056,3131,184.1764705882353,0.0,1.8823529411764706,9,17,0.18003217636656885,1,Strong,50.86462673551633,4.2995383833219565
881fa4411bfffff,4.228571428571429,0.012005238052143026,2977,425.2857142857143,0.0,1.7142857142857142,5,7,-0.26264299593546275,1,Strong,50.86385270888461,4.311632579628342
881fa4411dfffff,4.45,0.02293584697496572,1508,251.33333333333334,0.0,2.0,3,6,-0.5905032482642678,1,Strong,50.85844168484166,4.291239075887991
881fa44121fffff,4.3500000000000005,0.03368718781754909,4253,708.8333333333334,0.0,2.0,3,6,-0.06535649192374711,1,Strong,50.83369396447829,4.25806165886529
881fa44123fffff,4.2,-0.02873439164208591,190,190.0,0.0,2.0,1,1,-0.9743893576183286,1,Strong,50.832922702078676,4.270147353065609
881fa44129fffff,4.525,-0.0012146569428130305,433,54.125,0.0,2.0,4,8,-0.6811330290842779,1,Strong,50.84065251388585,4.2542663973871795
881fa4412dfffff,4.7,0.017376781310061595,20,20.0,0.0,1.0,1,1,-1.8277130660809076,2,Elite,50.83446390533034,4.24597671535724
881fa44131fffff,3.8866666666666663,-0.013109493300677351,11686,779.0666666666667,0.26666666666666666,2.0,8,15,1.2706671955509115,0,Emerging,50.83833707010568,4.290528580481815
881fa44133fffff,4.427272727272728,0.015221328333033378,3675,334.09090909090907,0.0,1.9090909090909092,6,11,-0.09738788654305007,1,Strong,50.83756261105384,4.302617472462385
881fa44135fffff,4.05,0.00371800082393825,133,33.25,0.0,2.0,3,4,-0.784859776163305,1,Strong,50.83215011786806,4.282233796952647
881fa44137fffff,4.425,0.06376741493874594,1990,497.5,0.0,2.0,2,4,-0.44464029166247443,1,Strong,50.8313762115832,4.294320989520336
881fa44139fffff,4.1,0.09532607797714504,291,36.375,0.0,2.0,4,8,-0.53196072150292,1,Strong,50.84529696025073,4.286735500718963
881fa4413bfffff,4.37,-0.01791129691322855,2559,255.9,0.0,1.9,5,10,-0.3439711782476245,1,Strong,50.84452327079687,4.298825344479873
881fa4413dfffff,4.6,0.12100291451364864,40,40.0,0.0,1.0,1,1,-1.7027537159726172,2,Elite,50.83911020675284,4.278440436638079
881fa44141fffff,4.866666666666667,0.060202271567124065,244,81.33333333333333,0.0,1.6666666666666667,2,3,-1.207793670538191,1,Strong,50.867709612672314,4.251169087909921
881fa44143fffff,4.314285714285714,0.05234457785815267,650,92.85714285714286,0.0,2.0,4,7,-0.5663777792622451,1,Strong,50.86694087726202,4.263260286275555
881fa44145fffff,4.0,-0.08377453296344506,513,128.25,0.0,2.0,3,4,-0.7401038144217008,1,Strong,50.86152235095623,4.242876587285756
881fa44149fffff,4.25,-0.13222574403727982,21,10.5,0.0,2.0,2,2,-1.118007652089994,1,Strong,50.874664088710944,4.247371421300569
881fa4414bfffff,4.3375,-0.06065181848010737,1201,150.125,0.0,2.0,7,8,-0.19988296004674214,1,Strong,50.873896123142984,4.259463570685445
881fa4414dfffff,4.3,0.16613788473277147,17,17.0,0.0,2.0,1,1,-1.0298516599379248,1,Strong,50.86847702593653,4.239078641547645
881fa44151fffff,4.4125,0.003626935874650905,5732,716.5,0.0,1.875,5,8,0.11690476388651445,1,Strong,50.87235622431231,4.283650122828381
881fa44153fffff,3.942857142857143,0.021533709118767983,7382,527.2857142857143,0.07142857142857142,1.8571428571428572,4,14,0.0933599539839589,1,Strong,50.87158429052215,4.295744523571172
881fa44155fffff,3.966666666666667,0.03631715525985118,4658,517.5555555555555,0.2222222222222222,2.0,5,9,0.46498547093876624,0,Emerging,50.86617081944172,4.27535223563772
881fa44157fffff,3.75,-0.035850520955705845,495,247.5,0.5,2.0,2,2,0.11254504276598902,0,Emerging,50.865399438947634,4.2874449349890575
881fa44159fffff,4.283333333333333,-0.02013333422438716,1119,186.5,0.0,1.8333333333333333,3,6,-0.7578407129187007,1,Strong,50.87931204083817,4.2798546392610906
881fa4415bfffff,4.5,-0.0004860689268131324,20,20.0,0.0,2.0,1,1,-1.2012621081691517,1,Strong,50.87854087671666,4.29194999245542
881fa4415dfffff,4.3500000000000005,0.007779191616771837,3955,659.1666666666666,0.0,2.0,6,6,0.24395323778586536,1,Strong,50.873126835098056,4.271556471530504
881fa4416bfffff,4.699999999999999,-0.0030209773054497013,58,29.0,0.0,2.0,2,2,-1.094062388871052,1,Strong,50.85456670722261,4.246673861741991
881fa44181fffff,4.160369609856263,0.0006200888863997703,525103,1078.2402464065708,0.043121149897330596,1.944558521560575,31,487,11.23164423704609,3,Everyday,50.847598515658696,4.355497724254134
881fa44183fffff,4.369230769230769,0.004280237625046652,39399,303.0692307692308,0.046153846153846156,1.9692307692307693,25,130,4.208512749128203,3,Everyday,50.846817655076684,4.367592993045517
881fa44185fffff,4.308585858585858,-0.004780957305789986,101143,510.82323232323233,0.0,1.9343434343434343,25,198,5.3731518127504225,3,Everyday,50.841415283004366,4.347192185371375
881fa44187fffff,4.238947368421052,-0.007592972176396268,64440,678.3157894736842,0.042105263157894736,2.094736842105263,15,95,2.8949603207427055,3,Everyday,50.84063497725008,4.359285757015629
881fa44189fffff,4.325438596491228,0.004233739973997828,92406,810.578947368421,0.06140350877192982,1.956140350877193,21,114,4.03028218479438,3,Everyday,50.854561085660926,4.3517090207312545
